Name,Location,City,P.O Box,Phone,Mobile,Company Page Link,Logo URL
Jabal Al Noor Cafeteria & Restaurant,"Mai Tower, Near Lulu Hypermarket, Al Nahda",Dubai,,04-2963330,055-4431181,https://www.yellowpages-uae.com/uae/restaurant/jabal-al-noor-cafeteria-restaurant-175230.html,
Jabal Al Rahma Cafeteria & Restaurant,Hor Al Anz,Dubai,,04-2970447,,https://www.yellowpages-uae.com/uae/restaurant/jabal-al-rahma-cafeteria-restaurant-147660.html,
Jabal Safad Restaurant and Cafeteria,Opp Madina S/Market,Fujairah,3796,09-2242088,,https://www.yellowpages-uae.com/uae/restaurant/jabal-safad-restaurant-and-cafeteria-114668.html,
Jacky's Star Restaurant,"Damascus St, Al Qusais",Dubai,,04-2582400,,https://www.yellowpages-uae.com/uae/restaurant/jacky-s-star-restaurant-148017.html,
Jafary Hotel,Electra St,Abu Dhabi,3987,02-6332728,,https://www.yellowpages-uae.com/uae/restaurant/jafary-hotel-111229.html,
Jaipur Restaurant,Burj Khalifa,Dubai,20899,04-4226767,,https://www.yellowpages-uae.com/uae/restaurant/jaipur-restaurant-114500.html,
Japengo Cafe,The Dubai Mall,Dubai,,04-4341433,,https://www.yellowpages-uae.com/uae/restaurant/japengo-caf--145641.html,
Jar Al Qamar Restaurant,Etisalat Rd,Abu Dhabi,,02-2222770,,https://www.yellowpages-uae.com/uae/restaurant/jar-al-qamar-restaurant-164590.html,
Jedoudna Restaurant,"Shop No. 12, Rimal Hotel, JBR",Dubai,,04-4230766,,https://www.yellowpages-uae.com/uae/restaurant/jedoudna-restaurant-175640.html,
Jesir Al Madinah Cafeteria,"Near Al Manama Hypermarket, Opposite Traffic Police Office",Sharjah,46528,06-5480426,052-3013046,https://www.yellowpages-uae.com/uae/restaurant/jesir-al-madinah-cafeteria-175367.html,
Jetty Lounge,"One & Only Royal Mirage, Sufouh",Dubai,,04-3999999,,https://www.yellowpages-uae.com/uae/restaurant/jetty-lounge-175761.html,
Jharokha Indian & Chinese Restaurant,"Shop 15, Jumeirah Bay Tower, X2, JLT",Dubai,,04-3619601,,https://www.yellowpages-uae.com/uae/restaurant/jharokha-indian-chinese-restaurant-175313.html,
Jimma Cafe,Deira,Dubai,,04-2717610,,https://www.yellowpages-uae.com/uae/restaurant/jimma-cafe-175762.html,
Jims Kitchen Table,Masdar City,Abu Dhabi,,02-4919401,,https://www.yellowpages-uae.com/uae/restaurant/jims-kitchen-table-175654.html,
Jing Asia,"Crowne Plaza, Abu Dhabi Yas Island",Abu Dhabi,,02-6563000,,https://www.yellowpages-uae.com/uae/restaurant/jing-asia-175703.html,
Jodha Akbar Restaurant,"225, Jumeirah St., Umm Suqeim 1",Dubai,,04-3308863,050-6950629,https://www.yellowpages-uae.com/uae/restaurant/dubai-jodha-akbar-restaurant-187730.html,
Johar Restaurant,"Al Fahidi St, Bur Dubai",Dubai,12516,04-3523509,,https://www.yellowpages-uae.com/uae/restaurant/johar-restaurant-111617.html,
Jouharat Al Arab Refreshment,Khalidia St,Abu Dhabi,75256,02-6665141,,https://www.yellowpages-uae.com/uae/restaurant/jouharat-al-arab-refreshment-124782.html,
Juice World,"Near Al Rigga MS, Al Rigga St, Deira",Dubai,184934,04-2999465,,https://www.yellowpages-uae.com/uae/restaurant/juice-world-175247.html,
Jumeira Falcon Cafeteria & Restaurant,"Al Baraka Masjid Bldg, Near Irani Hospital, Jumeirah 1",Dubai,,04-3455540,,https://www.yellowpages-uae.com/uae/restaurant/jumeira-falcon-cafeteria-restaurant-146017.html,
K & K Restaurant,Ras Al Khor,Dubai,65892,04-2896785,,https://www.yellowpages-uae.com/uae/restaurant/k-k-restaurant-152390.html,
Kabab Erbil Iraqi Restaurant,Al Rigga,Dubai,,04-2691722,,https://www.yellowpages-uae.com/uae/restaurant/kabab-erbil-iraqi-restaurant-175245.html,
Kabab House,"Near Dubai Hosp, Al Khaleej St, Deira",Dubai,,04-2699980,050-6756556,https://www.yellowpages-uae.com/uae/restaurant/kabab-house-175345.html,
Kabab Rolls,Khalidiya Mall,Abu Dhabi,,02-6390089,,https://www.yellowpages-uae.com/uae/restaurant/kabab-rolls-145310.html,
Kabab Rolls Al Barsha Restaurant LLC,"Shop 2, Barsha Business Square, Al Barsha 1",Dubai,391143,04-3256166,050-5659389,https://www.yellowpages-uae.com/uae/restaurant/kabab-rolls-al-barsha-restaurant-llc-143416.html,
Kababi Restaurant,"Next to Emirates NBD, Opposite Dubai Zoo, Jumeirah Beach Road, Jumeirah 1",Dubai,,04-3435910,056-1556270,https://www.yellowpages-uae.com/uae/restaurant/al-barza-restaurant-and-cafe-175496.html,
Kababs & Kurries,"The Souk, Central Market",Abu Dhabi,,02-6882522,,https://www.yellowpages-uae.com/uae/restaurant/kababs-kurries-175637.html,
Kabul Darbar Restaurant,"Naif Rd, Deira",Dubai,,04-2394445,052-8999191,https://www.yellowpages-uae.com/uae/restaurant/kabul-darbar-restaurant-175305.html,
Kaffa Beans,Dubai Silicon Oasis,Dubai,,04-3312204,052-3876140,https://www.yellowpages-uae.com/uae/restaurant/kaffa-beans-175281.html,
Kairali Restaurant,"Al Rayan Hotel Bldg, Abubaker Al Siddiq St, Al Nakheel",Ajman,4895,06-7457676,,https://www.yellowpages-uae.com/uae/restaurant/kairali-restaurant-150832.html,
Kalispera Cafe,Defense Rd,Abu Dhabi,106854,02-6418283,,https://www.yellowpages-uae.com/uae/restaurant/kalispera-cafe-131700.html,
Kamat,"Ground Level, Bay Avenue, Executive Towers G, Business Bay",Dubai,28106,04-4535471,,https://www.yellowpages-uae.com/uae/restaurant/kamat-104878.html,
Kanzaman Restaurant,Al Shindaga Heritage Village,Dubai,111488,04-3342243,,https://www.yellowpages-uae.com/uae/restaurant/kanzaman-restaurant-127905.html,
Karachi Golden Restaurant & Cafeteria,Bhnd Hor Al Anz Park,Dubai,,04-2689100,,https://www.yellowpages-uae.com/uae/restaurant/karachi-golden-restaurant-cafeteria-147389.html,
Karachi Inn Restaurant LLC,,Dubai,,04-3598200,,https://www.yellowpages-uae.com/uae/restaurant/karachi-inn-restaurant-llc-142826.html,
Karachi Restaurant,Al Qusais Indl Area 3,Dubai,6120,04-2673131,,https://www.yellowpages-uae.com/uae/restaurant/karachi-restaurant-106477.html,
Karaikudi Aachi Restaurant & Sweets LLC,"Shop 1, Al Fahidi Souq, Bur Dubai",Dubai,242927,04-3231346,055-1346057,https://www.yellowpages-uae.com/uae/restaurant/karaikudi-aachi-restaurant-sweets-llc-175294.html,
Karak Time Cafeteria,"Bhnd NMC Hosp, Al Nahda 2, Al Qusais",Dubai,,04-2588844,050-3000865,https://www.yellowpages-uae.com/uae/restaurant/karak-time-cafeteria-175244.html,
Kashmir Palace Restaurant,"Hamdan Colony, Karama",Dubai,32765,04-3963086,,https://www.yellowpages-uae.com/uae/restaurant/kashmir-palace-restaurant-126294.html,
Kashmir Restaurant,King Faisal R/A,Sharjah,5617,06-5335861,,https://www.yellowpages-uae.com/uae/restaurant/kashmir-restaurant-133276.html,
Kayal Star Restaurant LLC,Al Qusais,Dubai,237876,04-2392891,,https://www.yellowpages-uae.com/uae/restaurant/kayal-star-restaurant-llc-144639.html,
Kerala Castle Restaurant,"Near NMC Hosp, Amman Rd, Al Nahda 2",Dubai,,04-2390740,056-9705294,https://www.yellowpages-uae.com/uae/restaurant/kerala-castle-restaurant-175235.html,
Kerala Kitchen,"Between Sana Fashion & Lulu Hypermarket, Karama",Dubai,,04-3376406,,https://www.yellowpages-uae.com/uae/restaurant/kerala-kitchen-143415.html,
Kerala Palace Restaurant,"Near Macro S/Market, J & P R/A, Cricket Stadium Rd",Sharjah,150020,06-5433220,,https://www.yellowpages-uae.com/uae/restaurant/kerala-palace-restaurant-132433.html,
Khairat Al Madinah Restaurant,"Bhnd Citymax, Abu Shagara",Sharjah,,06-5500095,055-4700188,https://www.yellowpages-uae.com/uae/restaurant/khairat-al-madinah-restaurant-175359.html,
Khalfan Al Jalaf Restaurant,"Al Shaab Colony, Deira",Dubai,1453,04-2626792,,https://www.yellowpages-uae.com/uae/restaurant/khalfan-al-jalaf-restaurant-111935.html,
Khan's Dastarkhwan,Al Qusais,Dubai,,04-2585900,,https://www.yellowpages-uae.com/uae/restaurant/khan-s-dastarkhwan-144640.html,
Khanji Restaurant,"Behind Al Masah Crystal, Al Wahda Road, Abu Shagara",Sharjah,,06-5770177,056-1672353,https://www.yellowpages-uae.com/uae/restaurant/khanji-restaurant-175592.html,
Khater Mirch Masala Restaurant LLC,Karama,Dubai,114545,04-3344334,,https://www.yellowpages-uae.com/uae/restaurant/khater-mirch-masala-restaurant-llc-120924.html,
Khazana,"Bhnd American Hospital, Oud Metha Rd",Dubai,25579,04-3360061,,https://www.yellowpages-uae.com/uae/restaurant/khazana-130529.html,
Khebz and Meleh Restaurent,Tawwon,Sharjah,,06-5255262,056-7173371,https://www.yellowpages-uae.com/uae/restaurant/khebz-and-meleh-restaurent-170551.html,
Khoory Kabab Restaurant,"Near Al Manar Hotel, Behind Abjar Grand Hotel, Abu Hail",Dubai,,04-2666322,050-9438787,https://www.yellowpages-uae.com/uae/restaurant/khoory-kabab-restaurant-175598.html,
King Chef Restaurant,"Near Al Shirawi Ent, Noor Islamic Metro Station, Al Quoz",Dubai,,04-3466262,,https://www.yellowpages-uae.com/uae/restaurant/king-chef-restaurant-146539.html,
King Karak Cafe,"Behind Honda Showroom, Electra Street",Abu Dhabi,,02-6674752,058-2825149,https://www.yellowpages-uae.com/uae/restaurant/king-karak-cafe-175495.html,
King Mindi,Airport Rd,Abu Dhabi,,02-6437723,,https://www.yellowpages-uae.com/uae/restaurant/king-mindi-145487.html,
Kisaku,"Al Khaleej Palace Hotel, Near Etisalat Bldg, Al Maktoum Rd",Dubai,3720,04-223100,,https://www.yellowpages-uae.com/uae/restaurant/kisaku-62642.html,
Kobe Sizzlers,"Office 2, The Code Building, Sheikh Khalifa Bin Zayed Street, Opposite Burjuman",Dubai,554509,04-2555816,050-9153243,https://www.yellowpages-uae.com/uae/restaurant/kobe-sizzlers-178713.html,
Kohat Restaurant LLC,Muroor Rd,Abu Dhabi,26952,02-4485502,,https://www.yellowpages-uae.com/uae/restaurant/kohat-restaurant-llc-131732.html,
Koi Japanese Restaurant,"The Collection, Saadiyat Island",Abu Dhabi,,02-6783334,,https://www.yellowpages-uae.com/uae/restaurant/koi-japanese-restaurant-175704.html,
Kolkata Rolls N' Kababs,"G Flr, Block L, Opp Parking Area, Karama Souq",Dubai,81445,04-3796667,,https://www.yellowpages-uae.com/uae/restaurant/kolkata-rolls-n-kababs-145665.html,
Komedor Restaurant LLC,"Shop 1, Lahej Building, Karama",Dubai,,04-3940007,052-1334377,https://www.yellowpages-uae.com/uae/restaurant/komedor-restaurant-llc-175277.html,
Konkans Restaurant LLC,"Behind Sultan Bakeries, Najda Street",Abu Dhabi,51887,02-6760588,,https://www.yellowpages-uae.com/uae/restaurant/konkans-restaurant-llc-175571.html,
Kosebasi,"JBR, JBR",Dubai,,04-4393788,,https://www.yellowpages-uae.com/uae/restaurant/kosebasi-102812.html,
Kozhikode Star Restaurant LLC,Deira,Dubai,,04-2224650,050-7020287,https://www.yellowpages-uae.com/uae/restaurant/kozhikode-star-restaurant-llc-175279.html,
Krispy Kreme Doughnuts,,Sharjah,,600-525556,,https://www.yellowpages-uae.com/uae/restaurant/krispy-kreme-doughnuts-147204.html,
Kulcha King,"Meena Bazar, Bur Dubai",Dubai,,800 585242,,https://www.yellowpages-uae.com/uae/restaurant/kulcha-king-175329.html,
Kumarakom Restaurant,"Al Mansour Bldg, Near Dubai Residential Oasis, Al Qusais",Dubai,,04-2205858,,https://www.yellowpages-uae.com/uae/restaurant/kumarakom-restaurant-68488.html,
Kuwaiti Restaurant,Dibba Al Hassan,Fujairah,12068,09-2443599,,https://www.yellowpages-uae.com/uae/restaurant/kuwaiti-restaurant-122077.html,
La Brioche,Marina Mall,Abu Dhabi,,02-6815531,,https://www.yellowpages-uae.com/uae/restaurant/la-brioche-145583.html,
La Fontana Cafe,Hamdan St,Abu Dhabi,47838,02-6779500,,https://www.yellowpages-uae.com/uae/restaurant/la-fontana-cafe-121306.html,
La Mamma,Sheraton. Al Markaziyah,Abu Dhabi,,02-6970238,,https://www.yellowpages-uae.com/uae/restaurant/la-mamma-175705.html,
La Parilla,Jumeirah Beach Hotel,Dubai,,04-3480000,,https://www.yellowpages-uae.com/uae/restaurant/la-parilla-67725.html,
La Piazza/Coffee Shop - Sands Hotel,"Near Emirates Gen Market, Electra St",Abu Dhabi,32430,02-6335335,,https://www.yellowpages-uae.com/uae/restaurant/la-piazza-coffee-shop-sands-hotel-111921.html,
La Rosa Restaurant and Cafe,"Al Zarooni Building, Near Al Rigga Metro Station, Al Rigga",Dubai,1164,04-2278483,056-6901680,https://www.yellowpages-uae.com/uae/restaurant/la-rosa-restaurant-and-cafe-175233.html,
Labour Power Restaurant,"Near Grand Mini Mall, Jebel Ali Indl Area 2",Jebel Ali,,04-8804993,,https://www.yellowpages-uae.com/uae/restaurant/labour-power-restaurant-102817.html,
Lafayette Gourmet,The Dubai Mall,Dubai,,04-3399933,,https://www.yellowpages-uae.com/uae/restaurant/lafayette-gourmet-67410.html,
Laffah Restaurant,Qasba,Sharjah,,06-5569877,055-1493022,https://www.yellowpages-uae.com/uae/restaurant/laffah-restaurant-175297.html,
Lahori Darbar Restaurant,Al Quoz Industrial Area 2,Dubai,393878,04-3412125,055-9787855,https://www.yellowpages-uae.com/uae/restaurant/lahori-darbar-restaurant-175600.html,
Lahori Pakwan Restaurant,"Opp Al Baraha Mobile Market, Deira",Dubai,,04-2727065,,https://www.yellowpages-uae.com/uae/restaurant/lahori-pakwan-restaurant-175278.html,
Laibense Cafe,"Al Rigga Rd, Deira",Dubai,183721,04-2943278,,https://www.yellowpages-uae.com/uae/restaurant/laibense-cafe-175331.html,
Lamagon Restaurants And Sweets,Mamzar,Dubai,,04-2525252,,https://www.yellowpages-uae.com/uae/restaurant/lamagon-restaurants-and-sweets-175267.html,
Lanah Restaurant & Café LLC,Sh Zayed Rd,Dubai,,04-3250046,,https://www.yellowpages-uae.com/uae/restaurant/lanah-restaurant-café-llc-144666.html,
Landmark Restaurant,"Malmas Al Madeena H/M Bldg, Near Parco, Jebel Ali Indl Area 2",Jebel Ali,,04-8840430,,https://www.yellowpages-uae.com/uae/restaurant/landmark-restaurant-102818.html,
Layali,Tilal Liwa Hotel,Abu Dhabi,,02-8946111,,https://www.yellowpages-uae.com/uae/restaurant/layali-143722.html,
Layali Al Shaam Restaurant,TCA,Abu Dhabi,,02-6741337,,https://www.yellowpages-uae.com/uae/restaurant/layali-al-shaam-restaurant-145509.html,
Layaly Iskandaria,"Opp Baby Shop, Al Qassimia St",Sharjah,68573,06-5663610,,https://www.yellowpages-uae.com/uae/restaurant/layaly-iskandaria-148169.html,
Lazeez Indian Cuisine,Hamdan Bin Mohamed Street,Abu Dhabi,109189,02-6777070,,https://www.yellowpages-uae.com/uae/restaurant/lazeez-indian-cuisine-175508.html,
Le Beaujolais,Hamdan Street,Abu Dhabi,,02-6333555,,https://www.yellowpages-uae.com/uae/restaurant/le-beaujolais-175655.html,
Lebanese Mill Restaurant,Passport Road,Abu Dhabi,,02-6419996,,https://www.yellowpages-uae.com/uae/restaurant/lebanese-mill-restaurant-175524.html,
Lebanese Roaster,"G Flr, Al Futtaim Bldg, Opp Deira Water Tank, Deira",Dubai,,04-2285905,,https://www.yellowpages-uae.com/uae/restaurant/lebanese-roaster-105716.html,
Leila Restaurant,Mirdif City Centre,Dubai,,056-1880045,,https://www.yellowpages-uae.com/uae/restaurant/leila-restaurant-175763.html,
Lemongrass,Mushrif Mall,Abu Dhabi,,02-6500205,,https://www.yellowpages-uae.com/uae/restaurant/lemongrass-147964.html,
Leopolds Of London,Maryah Island,Abu Dhabi,,02-6654776,,https://www.yellowpages-uae.com/uae/restaurant/leopolds-of-london-175656.html,
Li Beirut,"Jumeirah Al Etihad Towers, Al Khubeirah",Abu Dhabi,,02-8115555,,https://www.yellowpages-uae.com/uae/restaurant/li-beirut-175706.html,
Li Jiang,"Ritz Carlton, Khor Al Maqta",Abu Dhabi,,02-8188282,,https://www.yellowpages-uae.com/uae/restaurant/li-jiang-175707.html,
Lifestyle Family Restaurant,"Al Ahli House - 4, Qusais",Dubai,,04-2589940,,https://www.yellowpages-uae.com/uae/restaurant/lifestyle-family-restaurant-143558.html,
Light Food Retaurant And Cafeteria,"Near New Burjuman Centre, Bhnd Iranian School, Karama",Dubai,,04-3963562,055-6226125,https://www.yellowpages-uae.com/uae/restaurant/light-food-retaurant-and-cafeteria-175265.html,
Light Star Cafeteria,"Near Palm Beach Hotel, Bur Dubai",Dubai,,04-3554121,055-3352290,https://www.yellowpages-uae.com/uae/restaurant/light-star-cafeteria-175310.html,
Little Manila Restaurant,,Dubai,,800 626452,,https://www.yellowpages-uae.com/uae/restaurant/little-manila-restaurant-175339.html,
Lolas Best Restaurant,Jafliya,Dubai,,04-3989193,,https://www.yellowpages-uae.com/uae/restaurant/lolas-best-restaurant-147779.html,
London Fish & Chips,Mirdif City Centre,Dubai,,800 566366,,https://www.yellowpages-uae.com/uae/restaurant/london-fish-chips-175357.html,
Lubna Restaurant,"Bhnd National Bank Of Dubai, Near Astoria, Meena Bazar, Bur Dubai",Dubai,45595,04-3550498,055-3274228,https://www.yellowpages-uae.com/uae/restaurant/lubna-restaurant-175293.html,
Luciano,Dubai Marina,Dubai,,04-3995000,,https://www.yellowpages-uae.com/uae/restaurant/luciano-67732.html,
Luna Restaurant and Coffee Shop,Madhab Area,Fujairah,206,09-2233800,,https://www.yellowpages-uae.com/uae/restaurant/luna-restaurant-and-coffee-shop-133648.html,
Lyari Darbar Restaurant,"Al Amal Building, Opp Old Labour Office, Near Mamzar Centre, Abu Hail",Dubai,,04-2667767,050-1818177,https://www.yellowpages-uae.com/uae/restaurant/lyari-darbar-restaurant-175300.html,
Madeena Restaurant,Mussafah,Abu Dhabi,8586,02-5553727,,https://www.yellowpages-uae.com/uae/restaurant/madeena-restaurant-113875.html,
Madeenat Haridwar Restaurant LLC,"Near Mobaila Roundabout, Qassimiya Street, Yarmook",Sharjah,,06-5542929,,https://www.yellowpages-uae.com/uae/restaurant/madeenat-haridwar-restaurant-llc-175593.html,
Madina Flowers Restaurant,"Between Lal's S/Market & Iranian Hospital, Satwa",Dubai,23118,04-3497126,,https://www.yellowpages-uae.com/uae/restaurant/madina-flowers-restaurant-140099.html,
Madina Islamabad Restaurant,Abu Shagara,Sharjah,,06-5598846,055-7807047,https://www.yellowpages-uae.com/uae/restaurant/madina-islamabad-restaurant-175368.html,
Madinat Salwa Restaurant,"Opp Zulekha Hospital, Al Butina",Sharjah,,06-5212042,,https://www.yellowpages-uae.com/uae/restaurant/madinat-salwa-restaurant-146790.html,
Madras Star Vegetarian Restaurant,Deira,Dubai,,04-2660043,,https://www.yellowpages-uae.com/uae/restaurant/madras-star-vegetarian-restaurant-107190.html,
Madras Vegetarian Restaurant LLC,"Near Abu Hail Metro Station, Deira",Dubai,,04-2691147,,https://www.yellowpages-uae.com/uae/restaurant/madras-vegetarian-restaurant-llc-105432.html,
Madurai Restaurant LLC,Hamdan St,Abu Dhabi,127473,02-6724257,,https://www.yellowpages-uae.com/uae/restaurant/madurai-restaurant-llc-141969.html,
Magic Fork Restaurant,Karama,Dubai,50253,04-3972424,,https://www.yellowpages-uae.com/uae/restaurant/magic-fork-restaurant-141982.html,
Maharaja Palace,Muroor Rd,Abu Dhabi,,02-6429888,,https://www.yellowpages-uae.com/uae/restaurant/maharaja-palace-145339.html,
Maharath Cafeteria,"Bhnd Mubarak Centre, Near Al Zarka Hotel, Al Nabba St",Sharjah,,06-5636774,,https://www.yellowpages-uae.com/uae/restaurant/maharath-cafeteria-148304.html,
Mahe Restaurant,"Bhnd Naif Park, Naif Rd, Deira",Dubai,4751,04-2213623,,https://www.yellowpages-uae.com/uae/restaurant/mahe-restaurant-113624.html,
Mahesh Restaurant,Karama,Dubai,,04-3968087,,https://www.yellowpages-uae.com/uae/restaurant/mahesh-restaurant-175764.html,
Mahroof Restaurant,Khalifa St,Abu Dhabi,25708,02-6275947,,https://www.yellowpages-uae.com/uae/restaurant/mahroof-restaurant-121016.html,
Majlis Pakistan Restaurant LLC,Opp Gold Center,Sharjah,,06-5669347,,https://www.yellowpages-uae.com/uae/restaurant/majlis-pakistan-restaurant-llc-151048.html,
Malabar Chef Restaurant,"Behind NDC, Salam Street",Abu Dhabi,,02-6747220,056-9252086,https://www.yellowpages-uae.com/uae/restaurant/malabar-chef-restaurant-175520.html,
Malabar Restaurant,"Opp Malabar Super Market, Deira",Dubai,,04-2239510,04-2239511,https://www.yellowpages-uae.com/uae/restaurant/malabar-restaurant-175215.html,
Malanaad Restaurant,"Bhnd SHJ Coop, Abu Shagara",Sharjah,,06-5740001,054-4008841,https://www.yellowpages-uae.com/uae/restaurant/malanaad-restaurant-175361.html,
Mamma Italia Restaurant,Jumeira Beach Road,Dubai,,04-3380872,050-1182464,https://www.yellowpages-uae.com/uae/restaurant/mamma-italia-restaurant-175539.html,
Mandi Plov Restaurant,"Shop 20, W 09 Building, Russia Cluster, International City",Dubai,,04-4211827,050-5152533,https://www.yellowpages-uae.com/uae/restaurant/mandi-plov-restaurant-174449.html,
Manishaz Kitchen,Abu Shagara,Sharjah,,06-5632215,,https://www.yellowpages-uae.com/uae/restaurant/manishaz-kitchen-175259.html,
Mannaland Restaurant,Satwa,Dubai,,04-3451300,,https://www.yellowpages-uae.com/uae/restaurant/mannaland-restaurant-175765.html,
Manvaar Restaurant LLC,,Dubai,49936,04-3368332,,https://www.yellowpages-uae.com/uae/restaurant/manvaar-restaurant-llc-141349.html,
Marakesh,"Millenium Hotel Abu Dhabi, Khalifa St.",Abu Dhabi,,02-6146000,,https://www.yellowpages-uae.com/uae/restaurant/marakesh-101137.html,
Marco Pierre White Steakhouse & Grill,Farimont Bab Al Bahr,Abu Dhabi,,02-6543333,,https://www.yellowpages-uae.com/uae/restaurant/marco-pierre-white-steakhouse-grill-175737.html,
Mareb Mandi Restaurant,Al Garhoud,Dubai,,04-2955590,,https://www.yellowpages-uae.com/uae/restaurant/mareb-mandi-restaurant-175553.html,
Maria Bonita Taco Shop & Grill,Jumeirah,Dubai,,04-3955576,,https://www.yellowpages-uae.com/uae/restaurant/maria-bonita-taco-shop-grill-175766.html,
Marina Al Bateen Resort,Corniche,Abu Dhabi,44044,02-6651516,,https://www.yellowpages-uae.com/uae/restaurant/marina-al-bateen-resort-133846.html,
Market Kitchen,"Le Royal Meridian, Al Markaziyah",Abu Dhabi,,02-6742020,,https://www.yellowpages-uae.com/uae/restaurant/market-kitchen-175708.html,
Marwan Murad Restaurant,Jumeirah Beach Rd,Dubai,50156,04-3453419,,https://www.yellowpages-uae.com/uae/restaurant/marwan-murad-restaurant-138093.html,
Masco Group,Deira,Dubai,233891,04-2943533,,https://www.yellowpages-uae.com/uae/restaurant/masco-group-161565.html,
Mashhad Restaurant,Qusais,Dubai,1492,04-2671445,,https://www.yellowpages-uae.com/uae/restaurant/mashhad-restaurant-175322.html,
Massaad BBQ,"City Tower 2, Shk Zayed Road",Dubai,,04-3589776,,https://www.yellowpages-uae.com/uae/restaurant/massaad-bbq-175565.html,
Mawal Restaurants Management LLC,Hamdan St,Abu Dhabi,34836,02-6721999,,https://www.yellowpages-uae.com/uae/restaurant/mawal-restaurants-management-llc-138524.html,
Mawaweel Restaurant,,Abu Dhabi,93576,02-6391333,,https://www.yellowpages-uae.com/uae/restaurant/mawaweel-restaurant-145341.html,
Mawlana Turkish Restaurant,Deira,Dubai,294912,04-2956868,,https://www.yellowpages-uae.com/uae/restaurant/mawlana-turkish-restaurant-157886.html,
Maxine Cafe Restaurants,"Jumeirah Road, Street 51, Jumeirah 1",Dubai,,04-3496020,800 629463,https://www.yellowpages-uae.com/uae/restaurant/maxine-cafe-restaurants-175560.html,
Mazaree Al Sham Barbecue,"Beach Road, Umm Suqeim 2",Dubai,,04-3883446,050-4638887,https://www.yellowpages-uae.com/uae/restaurant/mazaree-al-sham-barbecue-175554.html,
McDonalds,Dubai Festival City Business Bay Crossing,Dubai,24119,04-2329445,,https://www.yellowpages-uae.com/uae/restaurant/mcdonalds-160036.html,
Meenatshi Chettinadu Restaurant LLC,Al Quoz,Dubai,34722,04-3403345,,https://www.yellowpages-uae.com/uae/restaurant/meenatshi-chettinadu-restaurant-llc-129667.html,
Meeting Point Cafeteria LLC,"Near Shindaga City Centre, Al Ghubaiba Rd, Opp Etisalat, Bur Dubai",Dubai,,04-3543701,055-5146916,https://www.yellowpages-uae.com/uae/restaurant/meeting-point-cafeteria-llc-175304.html,
Meknaz Restaurant,,Abu Dhabi,,02-6778813,,https://www.yellowpages-uae.com/uae/restaurant/meknaz-restaurant-145342.html,
Memsaab Restaurant,JLT,Dubai,,04-4429816,,https://www.yellowpages-uae.com/uae/restaurant/memsaab-restaurant-175767.html,
Meshmesh Pizzeria,,Abu Dhabi,,02-6765478,,https://www.yellowpages-uae.com/uae/restaurant/meshmesh-pizzeria-175499.html,
Mezbaan Hyderabad Restaurant,Bur Dubai,Dubai,45076,04-3517863,,https://www.yellowpages-uae.com/uae/restaurant/mezbaan-hyderabad-restaurant-106308.html,
Mezlai,"Emirates Palace Hotel, Ras Al Akhdar",Abu Dhabi,,02-6909000,,https://www.yellowpages-uae.com/uae/restaurant/mezlai-175710.html,
Mezzaluna,"Emirates Palace, Al Ras Al Akhdar",Abu Dhabi,,02-6907999,,https://www.yellowpages-uae.com/uae/restaurant/mezzaluna-175738.html,
Mini Chinese Restaurant,"Al Diyafa St, Satwa",Dubai,1038,04-3459976,,https://www.yellowpages-uae.com/uae/restaurant/mini-chinese-restaurant-105465.html,
Mini Punjab Restaurant,"Bhnd Natl Bank of Dubai, Al Fahidi St, Bur Dubai",Dubai,184341,04-3515436,,https://www.yellowpages-uae.com/uae/restaurant/mini-punjab-restaurant-135912.html,
Mint and Olive Restaurant,Discovery Gardens,Dubai,487497,04-4409844,,https://www.yellowpages-uae.com/uae/restaurant/mint-and-olive-restaurant-147253.html,
Mir Amin Lebanese Cuisine,Jumeirah,Dubai,500069,04-3449921,,https://www.yellowpages-uae.com/uae/restaurant/mir-amin-lebanese-cuisine-132668.html,
Mobeen Restaurant,"Hatta Rd, Aweer",Dubai,60680,04-2870393,,https://www.yellowpages-uae.com/uae/restaurant/mobeen-restaurant-120111.html,
Modern Food Care Restaurant LLC,Khalidiya,Abu Dhabi,,02-6395544,,https://www.yellowpages-uae.com/uae/restaurant/modern-food-care-restaurant-llc-147965.html,
Modern Restaurant,"New West Accommodation Area, Jafza",Dubai,,04-8838822,,https://www.yellowpages-uae.com/uae/restaurant/modern-restaurant-148354.html,
Mohini Restaurant,,Abu Dhabi,,02-6760240,055-6892343,https://www.yellowpages-uae.com/uae/restaurant/mohini-restaurant-175517.html,
Momento Cafe Restaurant and Catering,Abu Dhabi Mall,Abu Dhabi,52203,02-6760444,,https://www.yellowpages-uae.com/uae/restaurant/momento-cafe-restaurant-and-catering-108152.html,
Momos Magic,"Level 3, Oasis Centre",Dubai,,055-8028677,,https://www.yellowpages-uae.com/uae/restaurant/momos-magic-175564.html,
Mono Restaurant & Cafe,,Abu Dhabi,,02-6416655,,https://www.yellowpages-uae.com/uae/restaurant/mono-restaurant-cafe-147220.html,
Moonlight Restaurant,"Opp Islamic Bank, Mumtazar Rd",Ras Al Khaimah,5748,07-2282336,,https://www.yellowpages-uae.com/uae/restaurant/moonlight-restaurant-113514.html,
Moshi,Al Barsha 1,Dubai,,04-3999650,800 66744,https://www.yellowpages-uae.com/uae/restaurant/moshi-175354.html,
